comment_id,text,cluster_id,umap_silhouette,silhouette,silhouette_score,centroid,centroid_score,nearest,nearest_score
Acsv-1_0,AIは未来を切り拓く画期的な技術であると感じる。,1_16,0.09773776230362717,0.09773776230362717,3,0.6797337107842651,3,0.8627858820020777,3
Acsv-1_0,AIは未来を切り拓く画期的な技術であると感じる。,2_41,0.09773776230362717,0.09773776230362717,3,0.6797337107842651,3,0.8627858820020777,3
Acsv-2_0,AIの利用は業務効率化に大いに貢献すると思う,1_12,0.28429960418289735,0.28429960418289735,4,0.8234354468601194,4,1.1873499101029958,4
Acsv-2_0,AIの利用は業務効率化に大いに貢献すると思う,2_38,0.28429960418289735,0.28429960418289735,4,0.8234354468601194,4,1.1873499101029958,4
Acsv-3_0,倫理的な観点から、AIの利用には慎重さが必要である。,1_5,0.573159767547751,0.573159767547751,5,0.4836014678266638,5,1.491986976794388,5
Acsv-3_0,倫理的な観点から、AIの利用には慎重さが必要である。,2_34,0.573159767547751,0.573159767547751,5,0.4836014678266638,5,1.491986976794388,5
Acsv-4_0,医療分野でのAIの活用により、診断精度が向上している。,1_13,0.8273097760996644,0.8273097760996644,5,0.4893622734432389,4,3.076276836196983,5
Acsv-4_0,医療分野でのAIの活用により、診断精度が向上している。,2_4,0.8273097760996644,0.8273097760996644,5,0.4893622734432389,4,3.076276836196983,5
Acsv-5_0,自動運転技術におけるAIの進化は非常に期待できる。,1_3,0.4616291567368408,0.4616291567368408,4,0.8323602342010403,4,1.65637553570476,4
Acsv-5_0,自動運転技術におけるAIの進化は非常に期待できる。,2_31,0.4616291567368408,0.4616291567368408,4,0.8323602342010403,4,1.65637553570476,4
Acsv-6_0,AIは創造性を刺激するツールとして有用である。,1_14,0.5006844575543802,0.5006844575543802,5,0.5474540505015556,5,1.1992838027604458,5
Acsv-6_0,AIは創造性を刺激するツールとして有用である。,2_35,0.5006844575543802,0.5006844575543802,5,0.5474540505015556,5,1.1992838027604458,5
Acsv-7_0,データバイアスによる問題が懸念され、改善が必要である。,1_8,0.4005791645953485,0.4005791645953485,4,0.6151584189328474,4,1.1633071205809635,4
Acsv-7_0,データバイアスによる問題が懸念され、改善が必要である。,2_45,0.4005791645953485,0.4005791645953485,4,0.6151584189328474,4,1.1633071205809635,4
Acsv-8_0,AIによる自動化は雇用に影響を与える可能性がある,1_15,0.16895835577874624,0.16895835577874624,3,1.0978675836653635,3,1.3108760458790607,3
Acsv-8_0,AIによる自動化は雇用に影響を与える可能性がある,2_25,0.16895835577874624,0.16895835577874624,3,1.0978675836653635,3,1.3108760458790607,3
Acsv-9_0,教育現場でのAI利用は、個別最適化学習を実現する可能性がある。,1_10,0.9638518638601807,0.9638518638601807,5,0.15095079954235793,5,4.99598484973088,5
Acsv-9_0,教育現場でのAI利用は、個別最適化学習を実現する可能性がある。,2_5,0.9638518638601807,0.9638518638601807,5,0.15095079954235793,5,4.99598484973088,5
Acsv-10_0,AIの発展は国際競争力を高める鍵になる。,1_16,0.4454776993016576,0.4454776993016576,4,0.1450333784854694,5,1.1892242589727007,3
Acsv-10_0,AIの発展は国際競争力を高める鍵になる。,2_20,0.4454776993016576,0.4454776993016576,4,0.1450333784854694,5,1.1892242589727007,3
Acsv-11_0,プライバシーの保護とAI技術の発展のバランスが重要である。,1_6,0.5244248932862575,0.5244248932862575,5,0.45986479006195397,5,1.3054836202054203,5
Acsv-11_0,プライバシーの保護とAI技術の発展のバランスが重要である。,2_24,0.5244248932862575,0.5244248932862575,5,0.45986479006195397,5,1.3054836202054203,5
Acsv-12_0,AIは日常生活の多くの面で便利さを提供してくれる。,1_11,0.5621294182090147,0.5621294182090147,5,0.4847160217384646,5,1.7198432068226852,5
Acsv-12_0,AIは日常生活の多くの面で便利さを提供してくれる。,2_42,0.5621294182090147,0.5621294182090147,5,0.4847160217384646,5,1.7198432068226852,5
Acsv-13_0,AIのアルゴリズムは透明性を持つべきである。,1_5,0.5760919087844508,0.5760919087844508,5,0.4770859203417998,5,1.3696761169303733,5
Acsv-13_0,AIのアルゴリズムは透明性を持つべきである。,2_13,0.5760919087844508,0.5760919087844508,5,0.4770859203417998,5,1.3696761169303733,5
Acsv-14_0,AIは大量のデータ解析において非常に強力である。,1_8,0.5626582538646414,0.5626582538646414,5,0.21885507976634722,5,0.8608467090815162,5
Acsv-14_0,AIは大量のデータ解析において非常に強力である。,2_6,0.5626582538646414,0.5626582538646414,5,0.21885507976634722,5,0.8608467090815162,5
Acsv-15_0,AIの不正利用に対する対策が急務である,1_9,0.8025478940154712,0.8025478940154712,5,0.38345607919304164,5,2.269753744998958,5
Acsv-15_0,AIの不正利用に対する対策が急務である,2_12,0.8025478940154712,0.8025478940154712,5,0.38345607919304164,5,2.269753744998958,5
