comment_id,text,cluster_id,umap_silhouette,silhouette_umap,umap_score_1to5,silhouette_embed,embed_score_1to5
Acsv-1_0,AIは未来を切り拓く画期的な技術であると感じる。,1_16,0.09773776230362717,0.20081602202180682,3,0.030155562660079422,3
Acsv-1_0,AIは未来を切り拓く画期的な技術であると感じる。,2_41,0.09773776230362717,0.36949189031452234,4,0.06799523579042532,4
Acsv-2_0,AIの利用は業務効率化に大いに貢献すると思う,1_12,0.28429960418289735,0.5148468794545007,5,0.11305019594286533,5
Acsv-2_0,AIの利用は業務効率化に大いに貢献すると思う,2_38,0.28429960418289735,0.5444588572509792,5,0.08797084922299185,4
Acsv-3_0,倫理的な観点から、AIの利用には慎重さが必要である。,1_5,0.573159767547751,0.5386611087416083,5,0.07569892534010073,4
Acsv-3_0,倫理的な観点から、AIの利用には慎重さが必要である。,2_34,0.573159767547751,0.6573030427720609,5,0.1834420814260038,5
Acsv-4_0,医療分野でのAIの活用により、診断精度が向上している。,1_13,0.8273097760996644,0.8358894723988824,5,0.22630490250514262,5
Acsv-4_0,医療分野でのAIの活用により、診断精度が向上している。,2_4,0.8273097760996644,0.5848597742470318,5,0.23343090583243492,5
Acsv-5_0,自動運転技術におけるAIの進化は非常に期待できる。,1_3,0.4616291567368408,0.5495588805462596,5,0.1373220560513007,5
Acsv-5_0,自動運転技術におけるAIの進化は非常に期待できる。,2_31,0.4616291567368408,0.6443108284069966,5,0.17811944842607566,5
Acsv-6_0,AIは創造性を刺激するツールとして有用である。,1_14,0.5006844575543802,0.6512098276005047,5,0.030665298842591983,3
Acsv-6_0,AIは創造性を刺激するツールとして有用である。,2_35,0.5006844575543802,0.5572368531999661,5,0.18914974582131536,5
Acsv-7_0,データバイアスによる問題が懸念され、改善が必要である。,1_8,0.4005791645953485,0.5110071674886856,5,0.12919405551554927,5
Acsv-7_0,データバイアスによる問題が懸念され、改善が必要である。,2_45,0.4005791645953485,0.312083762883724,4,-0.0290041090090049,2
Acsv-8_0,AIによる自動化は雇用に影響を与える可能性がある,1_15,0.16895835577874624,0.4196112447143895,4,0.0767087291534036,4
Acsv-8_0,AIによる自動化は雇用に影響を与える可能性がある,2_25,0.16895835577874624,0.10139357608351124,3,-0.022471738757560852,2
Acsv-9_0,教育現場でのAI利用は、個別最適化学習を実現する可能性がある。,1_10,0.9638518638601807,0.9706315294826413,5,0.361033009513587,5
